seed,episode,reward,episode_length,loss,eval_success_rate,algorithm,learning_rate,gamma
6,1,-10.84999942779541,40,0.0,-1.0,DQN,0.001,0.99
6,2,-5.299999713897705,40,0.0,-1.0,DQN,0.001,0.99
6,3,-0.6499996185302734,31,2.872760057449341,-1.0,DQN,0.001,0.99
6,4,5.399999618530273,24,2.801624059677124,-1.0,DQN,0.001,0.99
6,5,-4.100000381469727,40,1.8887028694152832,-1.0,DQN,0.001,0.99
6,6,-6.5,40,0.17173875868320465,-1.0,DQN,0.001,0.99
6,7,4.499999046325684,36,0.14009059965610504,-1.0,DQN,0.001,0.99
6,8,3.549999237060547,34,2.432514190673828,-1.0,DQN,0.001,0.99
6,9,-5.900000095367432,40,1.8822046518325806,-1.0,DQN,0.001,0.99
6,10,-4.850000381469727,40,3.3695592880249023,-1.0,DQN,0.001,0.99
6,11,4.6999993324279785,35,0.26910364627838135,-1.0,DQN,0.001,0.99
6,12,-4.699999809265137,40,1.6695843935012817,-1.0,DQN,0.001,0.99
6,13,7.749999523162842,28,2.5182554721832275,-1.0,DQN,0.001,0.99
6,14,-4.699999809265137,40,1.5394783020019531,-1.0,DQN,0.001,0.99
6,15,-5.150000095367432,40,0.9118208289146423,-1.0,DQN,0.001,0.99
6,16,-5.450000286102295,40,1.6948657035827637,-1.0,DQN,0.001,0.99
6,17,-5.449999809265137,40,1.587161898612976,-1.0,DQN,0.001,0.99
6,18,-4.399999618530273,40,0.03395902365446091,-1.0,DQN,0.001,0.99
6,19,-5.75,40,4.898935317993164,-1.0,DQN,0.001,0.99
6,20,-7.25,40,0.9536942839622498,-1.0,DQN,0.001,0.99
6,21,-6.049999713897705,40,0.08714520186185837,-1.0,DQN,0.001,0.99
6,22,-4.699999809265137,40,0.9393112659454346,-1.0,DQN,0.001,0.99
6,23,-4.699999809265137,40,0.8707496523857117,-1.0,DQN,0.001,0.99
6,24,-6.5,40,0.8612664937973022,-1.0,DQN,0.001,0.99
6,25,-4.25,40,0.08605506271123886,-1.0,DQN,0.001,0.99
6,26,-4.550000190734863,40,0.05562829598784447,-1.0,DQN,0.001,0.99
6,27,7.549999713897705,23,0.11902967840433121,-1.0,DQN,0.001,0.99
6,28,-4.100000381469727,40,0.08869791775941849,-1.0,DQN,0.001,0.99
6,29,-4.849999904632568,40,2.414515256881714,-1.0,DQN,0.001,0.99
6,30,-3.1999998092651367,40,0.8729149103164673,-1.0,DQN,0.001,0.99
6,31,-3.799999952316284,40,0.11757484823465347,-1.0,DQN,0.001,0.99
6,32,-5.900000095367432,40,0.8298377394676208,-1.0,DQN,0.001,0.99
6,33,7.849998950958252,23,0.8467567563056946,-1.0,DQN,0.001,0.99
6,34,8.94999885559082,13,1.6022783517837524,-1.0,DQN,0.001,0.99
6,35,-4.400000095367432,40,1.7104105949401855,-1.0,DQN,0.001,0.99
6,36,7.049999237060547,24,0.9234034419059753,-1.0,DQN,0.001,0.99
6,37,8.25,18,0.04122098535299301,-1.0,DQN,0.001,0.99
6,38,7.350000381469727,21,0.08593136072158813,-1.0,DQN,0.001,0.99
6,39,6.44999885559082,30,0.08603540062904358,-1.0,DQN,0.001,0.99
6,40,-4.25,40,1.5789254903793335,-1.0,DQN,0.001,0.99
6,41,6.649999141693115,35,2.3232457637786865,-1.0,DQN,0.001,0.99
6,42,9.25,13,3.7788875102996826,-1.0,DQN,0.001,0.99
6,43,-11.449999809265137,40,1.5303148031234741,-1.0,DQN,0.001,0.99
6,44,-5.0,40,0.9046714305877686,-1.0,DQN,0.001,0.99
6,45,8.149999618530273,20,0.06927544623613358,-1.0,DQN,0.001,0.99
6,46,9.149998664855957,12,0.9390456676483154,-1.0,DQN,0.001,0.99
6,47,7.649999618530273,24,2.331012725830078,-1.0,DQN,0.001,0.99
6,48,-5.449999809265137,40,1.5645697116851807,-1.0,DQN,0.001,0.99
6,49,4.199999809265137,30,0.8286025524139404,-1.0,DQN,0.001,0.99
6,50,-7.699999809265137,40,1.6373672485351562,-1.0,DQN,0.001,0.99
6,51,-5.150000095367432,40,0.8404896259307861,-1.0,DQN,0.001,0.99
6,52,-5.300000190734863,40,1.628070592880249,-1.0,DQN,0.001,0.99
6,53,7.050000190734863,27,0.040832798928022385,-1.0,DQN,0.001,0.99
6,54,5.799999237060547,25,0.7883603572845459,-1.0,DQN,0.001,0.99
6,55,6.55000114440918,28,0.7894339561462402,-1.0,DQN,0.001,0.99
6,56,9.049999237060547,14,0.8406771421432495,-1.0,DQN,0.001,0.99
6,57,6.100000381469727,22,0.039860278367996216,-1.0,DQN,0.001,0.99
6,58,-6.800000190734863,40,1.5540602207183838,-1.0,DQN,0.001,0.99
6,59,8.25,15,0.05063999071717262,-1.0,DQN,0.001,0.99
6,60,-0.1999983787536621,37,0.8411404490470886,-1.0,DQN,0.001,0.99
6,61,-5.599999904632568,40,0.8054326772689819,-1.0,DQN,0.001,0.99
6,62,-1.8500003814697266,37,2.330498695373535,-1.0,DQN,0.001,0.99
6,63,7.849999904632568,20,0.8106778264045715,-1.0,DQN,0.001,0.99
6,64,9.25,10,1.630144715309143,-1.0,DQN,0.001,0.99
6,65,-6.649999618530273,40,0.8376837968826294,-1.0,DQN,0.001,0.99
6,66,9.25,10,1.6174592971801758,-1.0,DQN,0.001,0.99
6,67,-6.199999809265137,40,1.5647544860839844,-1.0,DQN,0.001,0.99
6,68,9.449999809265137,9,1.533621907234192,-1.0,DQN,0.001,0.99
6,69,4.150000095367432,40,1.5537657737731934,-1.0,DQN,0.001,0.99
6,70,5.5500006675720215,30,2.3401377201080322,-1.0,DQN,0.001,0.99
6,71,7.149999618530273,22,0.8193890452384949,-1.0,DQN,0.001,0.99
6,72,4.5500006675720215,38,1.628614068031311,-1.0,DQN,0.001,0.99
6,73,-5.300000190734863,40,3.7491297721862793,-1.0,DQN,0.001,0.99
6,74,7.050000190734863,21,0.8372870087623596,-1.0,DQN,0.001,0.99
6,75,8.25,15,0.07949816435575485,-1.0,DQN,0.001,0.99
6,76,7.049999713897705,21,1.5658701658248901,-1.0,DQN,0.001,0.99
6,77,9.149999618530273,12,0.82429438829422,-1.0,DQN,0.001,0.99
6,78,-6.5,40,1.5486540794372559,-1.0,DQN,0.001,0.99
6,79,9.049999237060547,14,2.1948153972625732,-1.0,DQN,0.001,0.99
6,80,9.049999237060547,11,0.7652899026870728,-1.0,DQN,0.001,0.99
6,81,9.649999618530273,8,1.5412206649780273,-1.0,DQN,0.001,0.99
6,82,9.649999618530273,8,0.7673127055168152,-1.0,DQN,0.001,0.99
6,83,9.25,13,0.8775591850280762,-1.0,DQN,0.001,0.99
6,84,9.549999237060547,10,0.767643392086029,-1.0,DQN,0.001,0.99
6,85,7.349999904632568,24,3.7287375926971436,-1.0,DQN,0.001,0.99
6,86,7.75,22,1.529483675956726,-1.0,DQN,0.001,0.99
6,87,9.649999618530273,8,3.588353157043457,-1.0,DQN,0.001,0.99
6,88,6.699999809265137,16,0.7825751304626465,-1.0,DQN,0.001,0.99
6,89,9.34999942779541,11,1.4506850242614746,-1.0,DQN,0.001,0.99
6,90,9.149999618530273,15,3.0003268718719482,-1.0,DQN,0.001,0.99
6,91,9.44999885559082,9,1.451884388923645,-1.0,DQN,0.001,0.99
6,92,9.449999809265137,9,3.618185043334961,-1.0,DQN,0.001,0.99
6,93,9.649999618530273,8,2.1987147331237793,-1.0,DQN,0.001,0.99
6,94,9.649999618530273,8,2.828223705291748,-1.0,DQN,0.001,0.99
6,95,9.149999618530273,12,1.4792721271514893,-1.0,DQN,0.001,0.99
6,96,9.549999237060547,10,2.8953213691711426,-1.0,DQN,0.001,0.99
6,97,9.649999618530273,8,2.824470281600952,-1.0,DQN,0.001,0.99
6,98,9.44999885559082,9,3.610151767730713,-1.0,DQN,0.001,0.99
6,99,8.149999618530273,17,2.1975648403167725,-1.0,DQN,0.001,0.99
6,100,-7.099999904632568,40,0.0862468034029007,-1.0,DQN,0.001,0.99
6,101,4.850000381469727,35,2.208531141281128,-1.0,DQN,0.001,0.99
6,102,-7.25,40,0.7355794310569763,-1.0,DQN,0.001,0.99
6,103,9.249999046325684,10,0.7402646541595459,-1.0,DQN,0.001,0.99
6,104,8.449999809265137,14,2.093029022216797,-1.0,DQN,0.001,0.99
6,105,8.149999618530273,17,4.120016098022461,-1.0,DQN,0.001,0.99
6,106,1.1499996185302734,34,1.4830085039138794,-1.0,DQN,0.001,0.99
6,107,-6.650000095367432,40,1.4186434745788574,-1.0,DQN,0.001,0.99
6,108,6.650001049041748,23,2.281524658203125,-1.0,DQN,0.001,0.99
6,109,-7.25,40,3.52266526222229,-1.0,DQN,0.001,0.99
6,110,-7.099999904632568,40,1.4087566137313843,-1.0,DQN,0.001,0.99
6,111,8.050000190734863,16,1.4045236110687256,-1.0,DQN,0.001,0.99
6,112,6.050000190734863,26,2.1578896045684814,-1.0,DQN,0.001,0.99
6,113,-7.25,40,4.125056743621826,-1.0,DQN,0.001,0.99
6,114,7.550000190734863,20,1.4652737379074097,-1.0,DQN,0.001,0.99
6,115,3.450000286102295,39,3.9898223876953125,-1.0,DQN,0.001,0.99
6,116,-7.25,40,0.7118186950683594,-1.0,DQN,0.001,0.99
6,117,-7.550000190734863,40,0.7057388424873352,-1.0,DQN,0.001,0.99
6,118,-7.25,40,4.718418598175049,-1.0,DQN,0.001,0.99
6,119,-7.25,40,0.7146217823028564,-1.0,DQN,0.001,0.99
6,120,9.449999809265137,9,3.3160195350646973,-1.0,DQN,0.001,0.99
6,121,-7.25,40,0.06393611431121826,-1.0,DQN,0.001,0.99
6,122,-6.349999904632568,40,0.6861827969551086,-1.0,DQN,0.001,0.99
6,123,3.950000286102295,38,2.02984619140625,-1.0,DQN,0.001,0.99
6,124,-7.550000190734863,40,3.3864169120788574,-1.0,DQN,0.001,0.99
6,125,9.249999046325684,10,1.3641657829284668,-1.0,DQN,0.001,0.99
6,126,9.649999618530273,8,3.264946222305298,-1.0,DQN,0.001,0.99
6,127,-7.25,40,0.04965315759181976,-1.0,DQN,0.001,0.99
6,128,5.25,30,3.8227810859680176,-1.0,DQN,0.001,0.99
6,129,-7.25,40,1.9671592712402344,-1.0,DQN,0.001,0.99
6,130,-6.650000095367432,40,4.405522346496582,-1.0,DQN,0.001,0.99
6,131,-7.25,40,2.5571300983428955,-1.0,DQN,0.001,0.99
6,132,-7.550000190734863,40,2.498664617538452,-1.0,DQN,0.001,0.99
6,133,-6.649999618530273,40,2.076702117919922,-1.0,DQN,0.001,0.99
6,134,5.950000286102295,28,2.099015474319458,-1.0,DQN,0.001,0.99
6,135,6.850000381469727,22,1.3138976097106934,-1.0,DQN,0.001,0.99
6,136,8.949999809265137,13,2.051610231399536,-1.0,DQN,0.001,0.99
6,137,4.449999809265137,34,2.0350193977355957,-1.0,DQN,0.001,0.99
6,138,-7.25,40,0.6712056398391724,-1.0,DQN,0.001,0.99
6,139,4.750000476837158,37,1.2906968593597412,-1.0,DQN,0.001,0.99
6,140,-7.25,40,3.0936715602874756,-1.0,DQN,0.001,0.99
6,141,5.25,33,3.0521836280822754,-1.0,DQN,0.001,0.99
6,142,7.949999809265137,18,2.4858081340789795,-1.0,DQN,0.001,0.99
6,143,-7.550000190734863,40,1.2565406560897827,-1.0,DQN,0.001,0.99
6,144,-6.650000095367432,40,3.0723180770874023,-1.0,DQN,0.001,0.99
6,145,4.849999904632568,32,1.2298862934112549,-1.0,DQN,0.001,0.99
6,146,-7.550000190734863,40,2.540867328643799,-1.0,DQN,0.001,0.99
6,147,5.350000381469727,31,2.409817695617676,-1.0,DQN,0.001,0.99
6,148,4.649999618530273,33,2.932938575744629,-1.0,DQN,0.001,0.99
6,149,9.249999046325684,10,1.778810739517212,-1.0,DQN,0.001,0.99
6,150,3.6500000953674316,38,2.88631534576416,-1.0,DQN,0.001,0.99
6,151,-7.550000190734863,40,4.027573585510254,-1.0,DQN,0.001,0.99
6,152,8.949999809265137,13,2.2778425216674805,-1.0,DQN,0.001,0.99
6,153,-6.649999618530273,40,3.0280609130859375,-1.0,DQN,0.001,0.99
6,154,8.75,14,2.259518623352051,-1.0,DQN,0.001,0.99
6,155,-7.099999904632568,40,1.1716703176498413,-1.0,DQN,0.001,0.99
6,156,-7.399999618530273,40,2.2426419258117676,-1.0,DQN,0.001,0.99
6,157,6.450000762939453,24,3.9079742431640625,-1.0,DQN,0.001,0.99
6,158,-7.550000190734863,40,2.781965732574463,-1.0,DQN,0.001,0.99
6,159,9.44999885559082,9,1.6347898244857788,-1.0,DQN,0.001,0.99
6,160,8.65000057220459,13,2.1719141006469727,-1.0,DQN,0.001,0.99
6,161,-7.25,40,0.5699861645698547,-1.0,DQN,0.001,0.99
6,162,5.25,30,0.5868159532546997,-1.0,DQN,0.001,0.99
6,163,-7.25,40,0.5828673243522644,-1.0,DQN,0.001,0.99
6,164,-6.649999618530273,40,2.651501178741455,-1.0,DQN,0.001,0.99
6,165,-6.649999618530273,40,2.1430959701538086,-1.0,DQN,0.001,0.99
6,166,8.449999809265137,14,3.1586341857910156,-1.0,DQN,0.001,0.99
6,167,3.250000476837158,40,2.8447601795196533,-1.0,DQN,0.001,0.99
6,168,5.750000953674316,29,1.655951738357544,-1.0,DQN,0.001,0.99
6,169,4.050000190734863,36,3.0753369331359863,-1.0,DQN,0.001,0.99
6,170,-7.550000190734863,40,1.8089425563812256,-1.0,DQN,0.001,0.99
6,171,6.850000381469727,22,2.5490522384643555,-1.0,DQN,0.001,0.99
6,172,4.15000057220459,37,0.5554999113082886,-1.0,DQN,0.001,0.99
6,173,5.65000057220459,28,1.7956911325454712,-1.0,DQN,0.001,0.99
6,174,9.649999618530273,8,1.56526780128479,-1.0,DQN,0.001,0.99
6,175,9.249999046325684,10,1.521704912185669,-1.0,DQN,0.001,0.99
6,176,-7.399999618530273,40,1.0241000652313232,-1.0,DQN,0.001,0.99
6,177,-7.550000190734863,40,2.0031349658966064,-1.0,DQN,0.001,0.99
6,178,8.65000057220459,13,0.5719407200813293,-1.0,DQN,0.001,0.99
