seed,algorithm,learning_rate,gamma,final_mean_reward,final_success_rate,backend,devices,action,mean_length,wall_time_s
9,REINFORCE,0.1,0.99,9.517499923706055,1.0,GPU,['cuda:0'],stochastic,8.804999351501465,148.43712017600046
9,REINFORCE,0.1,0.99,9.649999618530273,1.0,GPU,['cuda:0'],greedy,8.0,148.43712017600046
