seed,episode,reward,episode_length,loss,eval_success_rate,algorithm,learning_rate,gamma
7,1,-3.1999998092651367,40,0.0,-1.0,DQN,0.001,0.9
7,2,-7.84999942779541,40,0.0,-1.0,DQN,0.001,0.9
7,3,-4.699999809265137,40,0.3190869390964508,-1.0,DQN,0.001,0.9
7,4,-7.84999942779541,40,0.3390156626701355,-1.0,DQN,0.001,0.9
7,5,-4.400000095367432,40,0.23237618803977966,-1.0,DQN,0.001,0.9
7,6,-5.59999942779541,40,0.20317009091377258,-1.0,DQN,0.001,0.9
7,7,-3.950000047683716,40,0.1742909848690033,-1.0,DQN,0.001,0.9
7,8,-5.150000095367432,40,0.2189168930053711,-1.0,DQN,0.001,0.9
7,9,-5.449999809265137,40,0.10779725015163422,-1.0,DQN,0.001,0.9
7,10,-5.599999904632568,40,0.11344928294420242,-1.0,DQN,0.001,0.9
7,11,-7.249999523162842,40,0.13143940269947052,-1.0,DQN,0.001,0.9
7,12,-4.25,40,0.11420628428459167,-1.0,DQN,0.001,0.9
7,13,-5.599999904632568,40,0.11826451122760773,-1.0,DQN,0.001,0.9
7,14,-4.699999809265137,40,0.11776594072580338,-1.0,DQN,0.001,0.9
7,15,-5.0,40,0.10675851255655289,-1.0,DQN,0.001,0.9
7,16,-5.150000095367432,40,0.075724758207798,-1.0,DQN,0.001,0.9
7,17,-4.850000381469727,40,0.08481096476316452,-1.0,DQN,0.001,0.9
7,18,6.499999046325684,23,0.13506567478179932,-1.0,DQN,0.001,0.9
7,19,-4.550000190734863,40,0.05202353373169899,-1.0,DQN,0.001,0.9
7,20,-5.0,40,0.06966494768857956,-1.0,DQN,0.001,0.9
7,21,-4.25,40,0.07253975421190262,-1.0,DQN,0.001,0.9
7,22,-6.199999809265137,40,0.057717785239219666,-1.0,DQN,0.001,0.9
7,23,-5.150000095367432,40,0.05829302594065666,-1.0,DQN,0.001,0.9
7,24,-4.699999809265137,40,0.1182541474699974,-1.0,DQN,0.001,0.9
7,25,-4.850000381469727,40,0.03883149474859238,-1.0,DQN,0.001,0.9
7,26,-4.399999618530273,40,0.06748940795660019,-1.0,DQN,0.001,0.9
7,27,-5.149999618530273,40,0.10034893453121185,-1.0,DQN,0.001,0.9
7,28,-5.449999809265137,40,0.030855730175971985,-1.0,DQN,0.001,0.9
7,29,-5.449999809265137,40,0.03477787226438522,-1.0,DQN,0.001,0.9
7,30,-5.599999904632568,40,0.8584303855895996,-1.0,DQN,0.001,0.9
7,31,-5.150000095367432,40,0.050248485058546066,-1.0,DQN,0.001,0.9
7,32,-5.449999809265137,40,0.02155544050037861,-1.0,DQN,0.001,0.9
7,33,-5.75,40,0.8543953895568848,-1.0,DQN,0.001,0.9
7,34,-5.300000190734863,40,0.026916582137346268,-1.0,DQN,0.001,0.9
7,35,-5.0,40,0.026444127783179283,-1.0,DQN,0.001,0.9
7,36,-4.850000381469727,40,0.09659413993358612,-1.0,DQN,0.001,0.9
7,37,-4.550000190734863,40,0.06638673692941666,-1.0,DQN,0.001,0.9
7,38,-7.400000095367432,40,0.017444085329771042,-1.0,DQN,0.001,0.9
7,39,-5.149999618530273,40,0.0416639968752861,-1.0,DQN,0.001,0.9
7,40,-5.900000095367432,40,0.016880910843610764,-1.0,DQN,0.001,0.9
7,41,-6.650000095367432,40,0.04647842049598694,-1.0,DQN,0.001,0.9
7,42,-4.849999904632568,40,0.04257495701313019,-1.0,DQN,0.001,0.9
