seed,episode,reward,episode_length,loss,eval_success_rate,algorithm,learning_rate,gamma
6,1,-3.8000001907348633,40,-0.46588125824928284,-1.0,REINFORCE,0.001,0.99
6,2,-4.850000381469727,40,-0.41079583764076233,-1.0,REINFORCE,0.001,0.99
6,3,-3.3499999046325684,40,-0.421286404132843,-1.0,REINFORCE,0.001,0.99
6,4,-3.8000001907348633,40,-0.4486958682537079,-1.0,REINFORCE,0.001,0.99
6,5,-4.849999904632568,40,-0.45882007479667664,-1.0,REINFORCE,0.001,0.99
6,6,-7.100000381469727,40,-0.531726062297821,-1.0,REINFORCE,0.001,0.99
6,7,-3.6500000953674316,40,-0.4514513909816742,-1.0,REINFORCE,0.001,0.99
6,8,-4.699999809265137,40,-0.5165231823921204,-1.0,REINFORCE,0.001,0.99
6,9,-5.0,40,-0.4217478930950165,-1.0,REINFORCE,0.001,0.99
6,10,-4.400000095367432,40,-0.4240287244319916,-1.0,REINFORCE,0.001,0.99
6,11,-4.25,40,-0.4525870382785797,-1.0,REINFORCE,0.001,0.99
6,12,-4.699999809265137,40,-0.4572528898715973,-1.0,REINFORCE,0.001,0.99
6,13,-4.850000381469727,40,-0.472123920917511,-1.0,REINFORCE,0.001,0.99
6,14,-4.699999809265137,40,-0.4323406219482422,-1.0,REINFORCE,0.001,0.99
6,15,-4.550000190734863,40,-0.41523608565330505,-1.0,REINFORCE,0.001,0.99
6,16,-4.850000381469727,40,-0.4655790328979492,-1.0,REINFORCE,0.001,0.99
6,17,-5.150000095367432,40,-0.46414706110954285,-1.0,REINFORCE,0.001,0.99
6,18,-10.399999618530273,40,-0.5297144055366516,-1.0,REINFORCE,0.001,0.99
6,19,-4.699999809265137,40,-0.4178154468536377,-1.0,REINFORCE,0.001,0.99
6,20,5.099999904632568,36,0.80201655626297,-1.0,REINFORCE,0.001,0.99
6,21,5.149999618530273,14,2.026216745376587,-1.0,REINFORCE,0.001,0.99
6,22,-5.150000095367432,40,-0.5014994740486145,-1.0,REINFORCE,0.001,0.99
6,23,-3.950000047683716,40,-0.4130166471004486,-1.0,REINFORCE,0.001,0.99
6,24,-4.400000095367432,40,-0.38265958428382874,-1.0,REINFORCE,0.001,0.99
6,25,5.299999713897705,35,0.8109349012374878,-1.0,REINFORCE,0.001,0.99
6,26,6.450000762939453,33,0.9465758204460144,-1.0,REINFORCE,0.001,0.99
6,27,-5.450000286102295,40,-0.47199660539627075,-1.0,REINFORCE,0.001,0.99
6,28,-4.25,40,-0.4709838926792145,-1.0,REINFORCE,0.001,0.99
6,29,-5.449999809265137,40,-0.4169673025608063,-1.0,REINFORCE,0.001,0.99
6,30,-4.550000190734863,40,-0.4130167067050934,-1.0,REINFORCE,0.001,0.99
6,31,-6.199999809265137,40,-0.4423394203186035,-1.0,REINFORCE,0.001,0.99
6,32,-4.550000190734863,40,-0.4309275150299072,-1.0,REINFORCE,0.001,0.99
6,33,-4.399999618530273,40,-0.4518910050392151,-1.0,REINFORCE,0.001,0.99
6,34,-10.25,40,-0.5112491250038147,-1.0,REINFORCE,0.001,0.99
6,35,-4.850000381469727,40,-0.45133066177368164,-1.0,REINFORCE,0.001,0.99
6,36,-4.099999904632568,40,-0.42179837822914124,-1.0,REINFORCE,0.001,0.99
6,37,-5.0,40,-0.4078828990459442,-1.0,REINFORCE,0.001,0.99
6,38,-4.550000190734863,40,-0.4406903386116028,-1.0,REINFORCE,0.001,0.99
6,39,-4.400000095367432,40,-0.43603983521461487,-1.0,REINFORCE,0.001,0.99
6,40,-4.100000381469727,40,-0.44878026843070984,-1.0,REINFORCE,0.001,0.99
6,41,-5.150000095367432,40,-0.4180750846862793,-1.0,REINFORCE,0.001,0.99
6,42,-4.550000190734863,40,-0.43267393112182617,-1.0,REINFORCE,0.001,0.99
6,43,-5.300000190734863,40,-0.4206272065639496,-1.0,REINFORCE,0.001,0.99
6,44,-4.699999809265137,40,-0.5407170653343201,-1.0,REINFORCE,0.001,0.99
6,45,-4.850000381469727,40,-0.472566694021225,-1.0,REINFORCE,0.001,0.99
6,46,-4.699999809265137,40,-0.44011345505714417,-1.0,REINFORCE,0.001,0.99
6,47,-5.300000190734863,40,-0.5290135741233826,-1.0,REINFORCE,0.001,0.99
6,48,-3.950000286102295,40,-0.48851490020751953,-1.0,REINFORCE,0.001,0.99
6,49,-4.099999904632568,40,-0.4266708791255951,-1.0,REINFORCE,0.001,0.99
6,50,-4.399999618530273,40,-0.431993305683136,-1.0,REINFORCE,0.001,0.99
6,51,-3.950000286102295,40,-0.43038684129714966,-1.0,REINFORCE,0.001,0.99
6,52,-9.649999618530273,40,-0.5534040927886963,-1.0,REINFORCE,0.001,0.99
6,53,-3.5,40,-0.4407438337802887,-1.0,REINFORCE,0.001,0.99
6,54,-3.6500000953674316,40,-0.42587968707084656,-1.0,REINFORCE,0.001,0.99
6,55,-7.550000190734863,40,-0.41273173689842224,-1.0,REINFORCE,0.001,0.99
6,56,-6.800000190734863,40,-0.5521940588951111,-1.0,REINFORCE,0.001,0.99
6,57,-6.050000190734863,40,-0.45674237608909607,-1.0,REINFORCE,0.001,0.99
6,58,-4.550000190734863,40,-0.4328479766845703,-1.0,REINFORCE,0.001,0.99
6,59,-6.050000190734863,40,-0.4708999693393707,-1.0,REINFORCE,0.001,0.99
6,60,-5.0,40,-0.45182427763938904,-1.0,REINFORCE,0.001,0.99
6,61,-4.25,40,-0.4516203999519348,-1.0,REINFORCE,0.001,0.99
6,62,-4.850000381469727,40,-0.3915475904941559,-1.0,REINFORCE,0.001,0.99
6,63,-4.099999904632568,40,-0.42973384261131287,-1.0,REINFORCE,0.001,0.99
6,64,-4.850000381469727,40,-0.4284273087978363,-1.0,REINFORCE,0.001,0.99
6,65,-4.550000190734863,40,-0.41032132506370544,-1.0,REINFORCE,0.001,0.99
6,66,6.050000190734863,32,0.9454790949821472,-1.0,REINFORCE,0.001,0.99
6,67,-3.6500000953674316,40,-0.4332544505596161,-1.0,REINFORCE,0.001,0.99
6,68,-5.150000095367432,40,-0.42411789298057556,-1.0,REINFORCE,0.001,0.99
6,69,-5.0,40,-0.4807119071483612,-1.0,REINFORCE,0.001,0.99
6,70,-3.950000047683716,40,-0.4230903685092926,-1.0,REINFORCE,0.001,0.99
6,71,-3.950000047683716,40,-0.4557487666606903,-1.0,REINFORCE,0.001,0.99
6,72,-4.699999809265137,40,-0.43436726927757263,-1.0,REINFORCE,0.001,0.99
6,73,-4.850000381469727,40,-0.47912484407424927,-1.0,REINFORCE,0.001,0.99
6,74,-4.850000381469727,40,-0.4603196084499359,-1.0,REINFORCE,0.001,0.99
6,75,-4.400000095367432,40,-0.49541664123535156,-1.0,REINFORCE,0.001,0.99
6,76,-3.6500000953674316,40,-0.43251362442970276,-1.0,REINFORCE,0.001,0.99
6,77,-4.849999904632568,40,-0.4327032268047333,-1.0,REINFORCE,0.001,0.99
6,78,-3.950000047683716,40,-0.43802520632743835,-1.0,REINFORCE,0.001,0.99
6,79,-3.5,40,-0.4050774574279785,-1.0,REINFORCE,0.001,0.99
6,80,-9.950000762939453,40,-0.5954844355583191,-1.0,REINFORCE,0.001,0.99
6,81,-5.0,40,-0.42941322922706604,-1.0,REINFORCE,0.001,0.99
6,82,-3.950000047683716,40,-0.44920453429222107,-1.0,REINFORCE,0.001,0.99
6,83,-4.699999809265137,40,-0.4000732898712158,-1.0,REINFORCE,0.001,0.99
6,84,-5.300000190734863,40,-0.441752165555954,-1.0,REINFORCE,0.001,0.99
6,85,-4.699999809265137,40,-0.43752846121788025,-1.0,REINFORCE,0.001,0.99
6,86,-5.600000381469727,40,-0.44835853576660156,-1.0,REINFORCE,0.001,0.99
6,87,-4.550000190734863,40,-0.415348619222641,-1.0,REINFORCE,0.001,0.99
6,88,-4.849999904632568,40,-0.44132328033447266,-1.0,REINFORCE,0.001,0.99
6,89,-5.600000381469727,40,-0.4696604907512665,-1.0,REINFORCE,0.001,0.99
6,90,-5.0,40,-0.42966118454933167,-1.0,REINFORCE,0.001,0.99
6,91,-4.550000190734863,40,-0.48101186752319336,-1.0,REINFORCE,0.001,0.99
6,92,-5.90000057220459,40,-0.4077076017856598,-1.0,REINFORCE,0.001,0.99
6,93,-3.950000047683716,40,-0.4096812307834625,-1.0,REINFORCE,0.001,0.99
6,94,-3.200000047683716,40,-0.3807309865951538,-1.0,REINFORCE,0.001,0.99
6,95,-15.199999809265137,40,-0.5840228199958801,-1.0,REINFORCE,0.001,0.99
6,96,-3.799999952316284,40,-0.4131314754486084,-1.0,REINFORCE,0.001,0.99
6,97,-4.399999618530273,40,-0.458421915769577,-1.0,REINFORCE,0.001,0.99
6,98,-4.25,40,-0.40212735533714294,-1.0,REINFORCE,0.001,0.99
6,99,-4.25,40,-0.4285160005092621,-1.0,REINFORCE,0.001,0.99
6,100,-5.0,40,-0.42235279083251953,-1.0,REINFORCE,0.001,0.99
6,101,-4.400000095367432,40,-0.4510563313961029,-1.0,REINFORCE,0.001,0.99
6,102,-9.050000190734863,40,-0.5104562640190125,-1.0,REINFORCE,0.001,0.99
6,103,-4.099999904632568,40,-0.4343578815460205,-1.0,REINFORCE,0.001,0.99
6,104,-4.25,40,-0.44124484062194824,-1.0,REINFORCE,0.001,0.99
6,105,-5.149999618530273,40,-0.3937934935092926,-1.0,REINFORCE,0.001,0.99
6,106,-8.0,40,-0.4138091504573822,-1.0,REINFORCE,0.001,0.99
6,107,6.09999942779541,25,1.2987711429595947,-1.0,REINFORCE,0.001,0.99
6,108,-5.150000095367432,40,-0.46971550583839417,-1.0,REINFORCE,0.001,0.99
6,109,-5.900000095367432,40,-0.4599230885505676,-1.0,REINFORCE,0.001,0.99
6,110,-15.200000762939453,40,-0.5121614336967468,-1.0,REINFORCE,0.001,0.99
6,111,-4.849999904632568,40,-0.4561520516872406,-1.0,REINFORCE,0.001,0.99
6,112,-5.449999809265137,40,-0.4727188050746918,-1.0,REINFORCE,0.001,0.99
6,113,-5.75,40,-0.6230657696723938,-1.0,REINFORCE,0.001,0.99
6,114,-4.25,40,-0.45804592967033386,-1.0,REINFORCE,0.001,0.99
6,115,-4.550000190734863,40,-0.46272799372673035,-1.0,REINFORCE,0.001,0.99
6,116,-4.100000381469727,40,-0.43204379081726074,-1.0,REINFORCE,0.001,0.99
6,117,-4.25,40,-0.43052855134010315,-1.0,REINFORCE,0.001,0.99
6,118,0.05000007152557373,26,0.6502485275268555,-1.0,REINFORCE,0.001,0.99
6,119,2.349998950958252,40,0.4429343640804291,-1.0,REINFORCE,0.001,0.99
6,120,-5.149999618530273,40,-0.4170723855495453,-1.0,REINFORCE,0.001,0.99
6,121,-5.0,40,-0.4739540219306946,-1.0,REINFORCE,0.001,0.99
6,122,-3.950000286102295,40,-0.4503650665283203,-1.0,REINFORCE,0.001,0.99
6,123,-4.850000381469727,40,-0.4462980329990387,-1.0,REINFORCE,0.001,0.99
6,124,-11.449999809265137,40,-0.47594648599624634,-1.0,REINFORCE,0.001,0.99
6,125,-5.75,40,-0.5474035143852234,-1.0,REINFORCE,0.001,0.99
6,126,-4.550000190734863,40,-0.44677191972732544,-1.0,REINFORCE,0.001,0.99
6,127,-4.400000095367432,40,-0.40895238518714905,-1.0,REINFORCE,0.001,0.99
6,128,6.6999993324279785,19,1.6665271520614624,-1.0,REINFORCE,0.001,0.99
6,129,-5.0,40,-0.4369661509990692,-1.0,REINFORCE,0.001,0.99
6,130,-5.150000095367432,40,-0.43956851959228516,-1.0,REINFORCE,0.001,0.99
6,131,-3.950000047683716,40,-0.41818317770957947,-1.0,REINFORCE,0.001,0.99
6,132,6.75,33,0.8999847173690796,-1.0,REINFORCE,0.001,0.99
6,133,-7.84999942779541,40,-0.4187878668308258,-1.0,REINFORCE,0.001,0.99
6,134,-5.149999618530273,40,-0.4308251440525055,-1.0,REINFORCE,0.001,0.99
6,135,-4.400000095367432,40,-0.43421292304992676,-1.0,REINFORCE,0.001,0.99
6,136,6.599998950958252,18,1.8162471055984497,-1.0,REINFORCE,0.001,0.99
6,137,-4.25,40,-0.46751728653907776,-1.0,REINFORCE,0.001,0.99
6,138,-5.449999809265137,40,-0.4677138328552246,-1.0,REINFORCE,0.001,0.99
6,139,-4.400000095367432,40,-0.5143498182296753,-1.0,REINFORCE,0.001,0.99
6,140,3.6499996185302734,26,1.1011807918548584,-1.0,REINFORCE,0.001,0.99
6,141,-5.300000190734863,40,-0.48290109634399414,-1.0,REINFORCE,0.001,0.99
6,142,-4.699999809265137,40,-0.4308212697505951,-1.0,REINFORCE,0.001,0.99
6,143,-6.050000190734863,40,-0.468660444021225,-1.0,REINFORCE,0.001,0.99
6,144,-7.25,40,-0.4512375295162201,-1.0,REINFORCE,0.001,0.99
6,145,-14.600000381469727,40,-0.44967612624168396,-1.0,REINFORCE,0.001,0.99
6,146,-3.5,40,-0.4226784408092499,-1.0,REINFORCE,0.001,0.99
6,147,-5.900000095367432,40,-0.4701057970523834,-1.0,REINFORCE,0.001,0.99
6,148,-4.100000381469727,40,-0.4234689772129059,-1.0,REINFORCE,0.001,0.99
6,149,-5.75,40,-0.3703905940055847,-1.0,REINFORCE,0.001,0.99
6,150,-4.100000381469727,40,-0.46527042984962463,-1.0,REINFORCE,0.001,0.99
6,151,-4.550000190734863,40,-0.46613702178001404,-1.0,REINFORCE,0.001,0.99
6,152,-4.25,40,-0.4190680682659149,-1.0,REINFORCE,0.001,0.99
6,153,-5.900000095367432,40,-0.42922431230545044,-1.0,REINFORCE,0.001,0.99
6,154,-4.699999809265137,40,-0.39724183082580566,-1.0,REINFORCE,0.001,0.99
6,155,-3.3499999046325684,40,-0.4391201436519623,-1.0,REINFORCE,0.001,0.99
6,156,-6.34999942779541,40,-0.36976251006126404,-1.0,REINFORCE,0.001,0.99
6,157,1.4000005722045898,32,0.6502308249473572,-1.0,REINFORCE,0.001,0.99
6,158,-3.200000047683716,40,-0.4198265075683594,-1.0,REINFORCE,0.001,0.99
6,159,-5.150000095367432,40,-0.40853339433670044,-1.0,REINFORCE,0.001,0.99
6,160,-7.399999618530273,40,-0.4401809275150299,-1.0,REINFORCE,0.001,0.99
6,161,5.6999993324279785,27,1.2122465372085571,-1.0,REINFORCE,0.001,0.99
6,162,-4.700000286102295,40,-0.4769699275493622,-1.0,REINFORCE,0.001,0.99
6,163,4.699999809265137,38,0.5947547554969788,-1.0,REINFORCE,0.001,0.99
6,164,-5.450000286102295,40,-0.46185922622680664,-1.0,REINFORCE,0.001,0.99
6,165,-4.25,40,-0.41706982254981995,-1.0,REINFORCE,0.001,0.99
6,166,-5.0,40,-0.46343517303466797,-1.0,REINFORCE,0.001,0.99
6,167,-8.75,40,-0.6163439154624939,-1.0,REINFORCE,0.001,0.99
6,168,-4.849999904632568,40,-0.40943995118141174,-1.0,REINFORCE,0.001,0.99
6,169,3.249999523162842,31,0.9074258804321289,-1.0,REINFORCE,0.001,0.99
6,170,-4.550000190734863,40,-0.4133216440677643,-1.0,REINFORCE,0.001,0.99
6,171,8.25,21,1.5445538759231567,-1.0,REINFORCE,0.001,0.99
6,172,-4.100000381469727,40,-0.4437580704689026,-1.0,REINFORCE,0.001,0.99
6,173,-3.6500000953674316,40,-0.5054391026496887,-1.0,REINFORCE,0.001,0.99
6,174,-4.25,40,-0.48958078026771545,-1.0,REINFORCE,0.001,0.99
6,175,-4.699999809265137,40,-0.4227803349494934,-1.0,REINFORCE,0.001,0.99
6,176,-4.099999904632568,40,-0.44570741057395935,-1.0,REINFORCE,0.001,0.99
6,177,0.899998664855957,36,0.3658844232559204,-1.0,REINFORCE,0.001,0.99
6,178,7.650000095367432,27,1.191307544708252,-1.0,REINFORCE,0.001,0.99
6,179,-3.200000286102295,40,-0.40961524844169617,-1.0,REINFORCE,0.001,0.99
6,180,-4.25,40,-0.4279256761074066,-1.0,REINFORCE,0.001,0.99
6,181,-3.6500000953674316,40,-0.43185529112815857,-1.0,REINFORCE,0.001,0.99
6,182,-4.550000190734863,40,-0.4677935540676117,-1.0,REINFORCE,0.001,0.99
6,183,-3.8000001907348633,40,-0.43407583236694336,-1.0,REINFORCE,0.001,0.99
6,184,8.949999809265137,13,2.2875237464904785,-1.0,REINFORCE,0.001,0.99
6,185,-3.799999952316284,40,-0.392263263463974,-1.0,REINFORCE,0.001,0.99
6,186,-5.450000286102295,40,-0.41943904757499695,-1.0,REINFORCE,0.001,0.99
6,187,-5.449999809265137,40,-0.5330374836921692,-1.0,REINFORCE,0.001,0.99
6,188,-3.8000001907348633,40,-0.4846801459789276,-1.0,REINFORCE,0.001,0.99
6,189,-4.699999809265137,40,-0.4265546500682831,-1.0,REINFORCE,0.001,0.99
6,190,-4.849999904632568,40,-0.4578617215156555,-1.0,REINFORCE,0.001,0.99
6,191,-4.849999904632568,40,-0.46729499101638794,-1.0,REINFORCE,0.001,0.99
6,192,-4.849999904632568,40,-0.4833143651485443,-1.0,REINFORCE,0.001,0.99
6,193,6.0,18,1.8901077508926392,-1.0,REINFORCE,0.001,0.99
6,194,-6.050000190734863,40,-0.43759042024612427,-1.0,REINFORCE,0.001,0.99
6,195,-4.25,40,-0.40473347902297974,-1.0,REINFORCE,0.001,0.99
6,196,-11.75,40,-0.4501841962337494,-1.0,REINFORCE,0.001,0.99
6,197,-4.25,40,-0.4420340061187744,-1.0,REINFORCE,0.001,0.99
6,198,-4.400000095367432,40,-0.44722747802734375,-1.0,REINFORCE,0.001,0.99
6,199,-5.150000095367432,40,-0.4653610289096832,-1.0,REINFORCE,0.001,0.99
6,200,-7.700000286102295,40,-0.46518728137016296,-1.0,REINFORCE,0.001,0.99
6,201,-5.150000095367432,40,-0.4286917746067047,-1.0,REINFORCE,0.001,0.99
6,202,-4.550000190734863,40,-0.45538780093193054,-1.0,REINFORCE,0.001,0.99
6,203,5.8000006675720215,19,1.6759663820266724,-1.0,REINFORCE,0.001,0.99
6,204,-8.149999618530273,40,-0.5820491909980774,-1.0,REINFORCE,0.001,0.99
6,205,-3.950000047683716,40,-0.4511190950870514,-1.0,REINFORCE,0.001,0.99
6,206,-5.90000057220459,40,-0.4040103852748871,-1.0,REINFORCE,0.001,0.99
6,207,-4.849999904632568,40,-0.4139021933078766,-1.0,REINFORCE,0.001,0.99
6,208,-3.200000047683716,40,-0.5207933783531189,-1.0,REINFORCE,0.001,0.99
6,209,-3.5,40,-0.4000582695007324,-1.0,REINFORCE,0.001,0.99
6,210,-4.850000381469727,40,-0.4931924045085907,-1.0,REINFORCE,0.001,0.99
6,211,-3.6500000953674316,40,-0.3986758589744568,-1.0,REINFORCE,0.001,0.99
6,212,7.75,25,1.425602674484253,-1.0,REINFORCE,0.001,0.99
6,213,-4.100000381469727,40,-0.46441957354545593,-1.0,REINFORCE,0.001,0.99
6,214,-4.550000190734863,40,-0.45463672280311584,-1.0,REINFORCE,0.001,0.99
6,215,-4.850000381469727,40,-0.4622816741466522,-1.0,REINFORCE,0.001,0.99
6,216,-3.3499999046325684,40,-0.5079221129417419,-1.0,REINFORCE,0.001,0.99
6,217,-4.100000381469727,40,-0.42841944098472595,-1.0,REINFORCE,0.001,0.99
6,218,-3.5,40,-0.35414373874664307,-1.0,REINFORCE,0.001,0.99
6,219,-4.400000095367432,40,-0.45203620195388794,-1.0,REINFORCE,0.001,0.99
6,220,-5.150000095367432,40,-0.4399215877056122,-1.0,REINFORCE,0.001,0.99
6,221,6.199999809265137,23,1.489830493927002,-1.0,REINFORCE,0.001,0.99
6,222,8.34999942779541,16,1.9829180240631104,-1.0,REINFORCE,0.001,0.99
6,223,-5.150000095367432,40,-0.44239121675491333,-1.0,REINFORCE,0.001,0.99
6,224,-3.950000047683716,40,-0.46944618225097656,-1.0,REINFORCE,0.001,0.99
6,225,5.500000953674316,28,1.182773232460022,-1.0,REINFORCE,0.001,0.99
6,226,-6.350000381469727,40,-0.39359745383262634,-1.0,REINFORCE,0.001,0.99
6,227,-5.300000190734863,40,-0.4825253188610077,-1.0,REINFORCE,0.001,0.99
6,228,-3.200000047683716,40,-0.4022911489009857,-1.0,REINFORCE,0.001,0.99
6,229,-4.550000190734863,40,-0.4170750677585602,-1.0,REINFORCE,0.001,0.99
6,230,-3.799999952316284,40,-0.39691901206970215,-1.0,REINFORCE,0.001,0.99
6,231,-5.600000381469727,40,-0.43493157625198364,-1.0,REINFORCE,0.001,0.99
6,232,-4.100000381469727,40,-0.45165109634399414,-1.0,REINFORCE,0.001,0.99
6,233,-3.6500000953674316,40,-0.4956454932689667,-1.0,REINFORCE,0.001,0.99
6,234,-4.100000381469727,40,-0.49746009707450867,-1.0,REINFORCE,0.001,0.99
6,235,-5.0,40,-0.4600999057292938,-1.0,REINFORCE,0.001,0.99
6,236,-3.9499998092651367,40,-0.398871511220932,-1.0,REINFORCE,0.001,0.99
6,237,-9.350000381469727,40,-0.5046044588088989,-1.0,REINFORCE,0.001,0.99
6,238,-5.0,40,-0.46721312403678894,-1.0,REINFORCE,0.001,0.99
6,239,6.000000953674316,24,1.3890743255615234,-1.0,REINFORCE,0.001,0.99
6,240,-3.950000286102295,40,-0.4969801902770996,-1.0,REINFORCE,0.001,0.99
6,241,-3.0500001907348633,40,-0.41582998633384705,-1.0,REINFORCE,0.001,0.99
6,242,-3.3499999046325684,40,-0.4697127938270569,-1.0,REINFORCE,0.001,0.99
6,243,-5.450000286102295,40,-0.4513990581035614,-1.0,REINFORCE,0.001,0.99
6,244,8.25,18,1.7909033298492432,-1.0,REINFORCE,0.001,0.99
6,245,-3.0500001907348633,40,-0.4464930593967438,-1.0,REINFORCE,0.001,0.99
6,246,-6.050000190734863,40,-0.4311757981777191,-1.0,REINFORCE,0.001,0.99
6,247,-4.850000381469727,40,-0.45339199900627136,-1.0,REINFORCE,0.001,0.99
6,248,-5.300000190734863,40,-0.46872708201408386,-1.0,REINFORCE,0.001,0.99
6,249,-3.5,40,-0.39149704575538635,-1.0,REINFORCE,0.001,0.99
6,250,-4.550000190734863,40,-0.4201381206512451,-1.0,REINFORCE,0.001,0.99
