seed,episode,reward,episode_length,loss,eval_success_rate,algorithm,learning_rate,gamma
3,1,-5.300000190734863,40,-0.4872780740261078,-1.0,REINFORCE,0.1,0.99
3,2,-4.699999809265137,40,-0.4329216182231903,-1.0,REINFORCE,0.1,0.99
3,3,-6.5,40,-0.4812844395637512,-1.0,REINFORCE,0.1,0.99
3,4,3.15000057220459,30,0.9221221208572388,-1.0,REINFORCE,0.1,0.99
3,5,5.899999618530273,20,1.5534194707870483,-1.0,REINFORCE,0.1,0.99
3,6,-6.799999713897705,40,-0.4430405795574188,-1.0,REINFORCE,0.1,0.99
3,7,5.299999237060547,32,0.9145362377166748,-1.0,REINFORCE,0.1,0.99
3,8,-4.25,40,-0.4687088429927826,-1.0,REINFORCE,0.1,0.99
3,9,-4.699999809265137,40,-0.5235442519187927,-1.0,REINFORCE,0.1,0.99
3,10,-5.449999809265137,40,-0.5572236180305481,-1.0,REINFORCE,0.1,0.99
3,11,-6.050000190734863,40,-0.5249953866004944,-1.0,REINFORCE,0.1,0.99
3,12,-0.09999895095825195,38,0.1594267636537552,-1.0,REINFORCE,0.1,0.99
3,13,6.249999046325684,37,0.7037844061851501,-1.0,REINFORCE,0.1,0.99
3,14,5.050000190734863,37,0.5508290529251099,-1.0,REINFORCE,0.1,0.99
3,15,6.400000095367432,19,1.5046353340148926,-1.0,REINFORCE,0.1,0.99
3,16,6.90000057220459,12,1.5367121696472168,-1.0,REINFORCE,0.1,0.99
3,17,8.15000057220459,17,1.4799240827560425,-1.0,REINFORCE,0.1,0.99
3,18,-7.09999942779541,40,-0.47471901774406433,-1.0,REINFORCE,0.1,0.99
3,19,6.800000190734863,14,1.5151540040969849,-1.0,REINFORCE,0.1,0.99
3,20,9.149999618530273,12,1.7782275676727295,-1.0,REINFORCE,0.1,0.99
3,21,6.499999046325684,17,1.8022382259368896,-1.0,REINFORCE,0.1,0.99
3,22,3.15000057220459,33,0.5735834240913391,-1.0,REINFORCE,0.1,0.99
3,23,7.75,25,1.271736741065979,-1.0,REINFORCE,0.1,0.99
3,24,6.199999809265137,17,1.2552495002746582,-1.0,REINFORCE,0.1,0.99
3,25,5.65000057220459,37,0.6689680218696594,-1.0,REINFORCE,0.1,0.99
3,26,8.149999618530273,20,1.5144544839859009,-1.0,REINFORCE,0.1,0.99
3,27,6.59999942779541,15,1.341299057006836,-1.0,REINFORCE,0.1,0.99
3,28,-4.399999618530273,40,-0.4624689221382141,-1.0,REINFORCE,0.1,0.99
3,29,5.9499993324279785,34,0.6789110898971558,-1.0,REINFORCE,0.1,0.99
3,30,-6.650000095367432,40,-0.3563998341560364,-1.0,REINFORCE,0.1,0.99
3,31,5.90000057220459,17,0.87473464012146,-1.0,REINFORCE,0.1,0.99
3,32,7.65000057220459,18,0.7373600006103516,-1.0,REINFORCE,0.1,0.99
3,33,8.049999237060547,19,1.438737154006958,-1.0,REINFORCE,0.1,0.99
3,34,3.900001049041748,30,0.6194518804550171,-1.0,REINFORCE,0.1,0.99
3,35,8.049999237060547,19,1.2857390642166138,-1.0,REINFORCE,0.1,0.99
3,36,9.44999885559082,9,2.3292975425720215,-1.0,REINFORCE,0.1,0.99
3,37,-6.349999904632568,40,-0.04075108841061592,-1.0,REINFORCE,0.1,0.99
3,38,7.949999809265137,21,1.4182956218719482,-1.0,REINFORCE,0.1,0.99
3,39,5.450000762939453,35,0.6990711688995361,-1.0,REINFORCE,0.1,0.99
3,40,7.950000286102295,18,1.4324201345443726,-1.0,REINFORCE,0.1,0.99
3,41,-5.150000095367432,40,-0.16513946652412415,-1.0,REINFORCE,0.1,0.99
3,42,7.949999809265137,21,1.2551560401916504,-1.0,REINFORCE,0.1,0.99
3,43,6.0,18,1.0150789022445679,-1.0,REINFORCE,0.1,0.99
3,44,9.149999618530273,12,1.8030675649642944,-1.0,REINFORCE,0.1,0.99
3,45,9.049999237060547,11,1.6271730661392212,-1.0,REINFORCE,0.1,0.99
3,46,9.249999046325684,10,1.5872198343276978,-1.0,REINFORCE,0.1,0.99
3,47,8.84999942779541,15,1.4872374534606934,-1.0,REINFORCE,0.1,0.99
3,48,-5.599999904632568,40,-0.45838332176208496,-1.0,REINFORCE,0.1,0.99
3,49,7.949999809265137,18,1.2938429117202759,-1.0,REINFORCE,0.1,0.99
3,50,-7.550000190734863,40,-0.3447556495666504,-1.0,REINFORCE,0.1,0.99
3,51,7.450000762939453,22,1.0629173517227173,-1.0,REINFORCE,0.1,0.99
3,52,7.050000190734863,24,1.120538592338562,-1.0,REINFORCE,0.1,0.99
3,53,8.34999942779541,16,1.4874536991119385,-1.0,REINFORCE,0.1,0.99
3,54,8.149999618530273,17,1.0267475843429565,-1.0,REINFORCE,0.1,0.99
3,55,6.15000057220459,27,1.0221937894821167,-1.0,REINFORCE,0.1,0.99
3,56,8.549999237060547,15,1.3616613149642944,-1.0,REINFORCE,0.1,0.99
3,57,6.699999809265137,13,1.2917717695236206,-1.0,REINFORCE,0.1,0.99
3,58,9.149999618530273,12,1.40244722366333,-1.0,REINFORCE,0.1,0.99
3,59,9.149999618530273,12,1.4519426822662354,-1.0,REINFORCE,0.1,0.99
3,60,-7.25,40,-0.23922887444496155,-1.0,REINFORCE,0.1,0.99
3,61,3.450000286102295,39,0.32477089762687683,-1.0,REINFORCE,0.1,0.99
3,62,7.55000114440918,20,1.2615159749984741,-1.0,REINFORCE,0.1,0.99
3,63,7.9499993324279785,18,1.1495124101638794,-1.0,REINFORCE,0.1,0.99
3,64,8.049999237060547,19,1.07685124874115,-1.0,REINFORCE,0.1,0.99
3,65,8.449999809265137,14,1.475563645362854,-1.0,REINFORCE,0.1,0.99
3,66,8.249999046325684,18,1.3801130056381226,-1.0,REINFORCE,0.1,0.99
3,67,4.100000381469727,26,0.3719504475593567,-1.0,REINFORCE,0.1,0.99
3,68,9.049999237060547,11,1.340880274772644,-1.0,REINFORCE,0.1,0.99
3,69,-7.550000190734863,40,-0.13509736955165863,-1.0,REINFORCE,0.1,0.99
3,70,8.949999809265137,13,1.4346340894699097,-1.0,REINFORCE,0.1,0.99
3,71,8.149999618530273,20,1.2977750301361084,-1.0,REINFORCE,0.1,0.99
3,72,8.34999942779541,16,1.3598531484603882,-1.0,REINFORCE,0.1,0.99
3,73,7.450000762939453,25,1.0822733640670776,-1.0,REINFORCE,0.1,0.99
3,74,8.149999618530273,20,1.2520796060562134,-1.0,REINFORCE,0.1,0.99
3,75,-7.550000190734863,40,-0.1730191558599472,-1.0,REINFORCE,0.1,0.99
3,76,6.34999942779541,29,0.8247847557067871,-1.0,REINFORCE,0.1,0.99
3,77,8.84999942779541,12,1.3859384059906006,-1.0,REINFORCE,0.1,0.99
3,78,9.449999809265137,9,1.2296062707901,-1.0,REINFORCE,0.1,0.99
3,79,7.849999904632568,20,1.2119886875152588,-1.0,REINFORCE,0.1,0.99
3,80,9.34999942779541,11,1.3209331035614014,-1.0,REINFORCE,0.1,0.99
3,81,7.75,22,1.2072521448135376,-1.0,REINFORCE,0.1,0.99
3,82,9.449999809265137,9,1.0008790493011475,-1.0,REINFORCE,0.1,0.99
3,83,8.75,14,1.4530022144317627,-1.0,REINFORCE,0.1,0.99
3,84,8.549999237060547,15,1.4097226858139038,-1.0,REINFORCE,0.1,0.99
3,85,6.4499993324279785,27,0.9071817994117737,-1.0,REINFORCE,0.1,0.99
3,86,9.049999237060547,11,1.2634376287460327,-1.0,REINFORCE,0.1,0.99
3,87,8.84999942779541,12,1.293602466583252,-1.0,REINFORCE,0.1,0.99
3,88,6.950000286102295,23,0.9935069680213928,-1.0,REINFORCE,0.1,0.99
3,89,9.44999885559082,9,0.9969997406005859,-1.0,REINFORCE,0.1,0.99
3,90,8.549999237060547,15,1.791827917098999,-1.0,REINFORCE,0.1,0.99
3,91,9.449999809265137,9,1.1521064043045044,-1.0,REINFORCE,0.1,0.99
3,92,9.249999046325684,10,1.2344048023223877,-1.0,REINFORCE,0.1,0.99
3,93,-7.099999904632568,40,-0.08443117141723633,-1.0,REINFORCE,0.1,0.99
3,94,9.25,10,1.0977286100387573,-1.0,REINFORCE,0.1,0.99
3,95,9.649999618530273,8,0.5754915475845337,-1.0,REINFORCE,0.1,0.99
3,96,9.449999809265137,9,0.7441427111625671,-1.0,REINFORCE,0.1,0.99
3,97,9.449999809265137,9,0.8491623401641846,-1.0,REINFORCE,0.1,0.99
3,98,9.449999809265137,9,0.6828011274337769,-1.0,REINFORCE,0.1,0.99
3,99,9.44999885559082,9,0.7382545471191406,-1.0,REINFORCE,0.1,0.99
3,100,8.84999942779541,12,1.5024179220199585,-1.0,REINFORCE,0.1,0.99
3,101,9.649999618530273,8,0.3857991397380829,-1.0,REINFORCE,0.1,0.99
3,102,9.249999046325684,10,1.2242510318756104,-1.0,REINFORCE,0.1,0.99
3,103,9.050000190734863,11,1.4739409685134888,-1.0,REINFORCE,0.1,0.99
3,104,9.25,10,1.4441070556640625,-1.0,REINFORCE,0.1,0.99
3,105,-7.550000190734863,40,-0.16660822927951813,-1.0,REINFORCE,0.1,0.99
3,106,9.549999237060547,10,1.012245535850525,-1.0,REINFORCE,0.1,0.99
3,107,9.25,10,1.0059937238693237,-1.0,REINFORCE,0.1,0.99
3,108,9.649999618530273,8,0.38938358426094055,-1.0,REINFORCE,0.1,0.99
3,109,9.649999618530273,8,0.3437041640281677,-1.0,REINFORCE,0.1,0.99
3,110,9.44999885559082,9,0.853054404258728,-1.0,REINFORCE,0.1,0.99
3,111,9.34999942779541,11,1.0597963333129883,-1.0,REINFORCE,0.1,0.99
3,112,9.050000190734863,11,1.34385085105896,-1.0,REINFORCE,0.1,0.99
3,113,8.649999618530273,13,1.331628441810608,-1.0,REINFORCE,0.1,0.99
3,114,8.949999809265137,13,1.3998560905456543,-1.0,REINFORCE,0.1,0.99
3,115,9.649999618530273,8,0.42537081241607666,-1.0,REINFORCE,0.1,0.99
3,116,8.75,14,1.2097804546356201,-1.0,REINFORCE,0.1,0.99
3,117,9.34999942779541,11,1.1281263828277588,-1.0,REINFORCE,0.1,0.99
3,118,9.249999046325684,10,0.9531639218330383,-1.0,REINFORCE,0.1,0.99
3,119,9.649999618530273,8,0.4096478223800659,-1.0,REINFORCE,0.1,0.99
3,120,9.149999618530273,12,1.204576849937439,-1.0,REINFORCE,0.1,0.99
3,121,9.649999618530273,8,0.3577204942703247,-1.0,REINFORCE,0.1,0.99
3,122,9.649999618530273,8,0.3074190318584442,-1.0,REINFORCE,0.1,0.99
3,123,9.649999618530273,8,0.27086788415908813,-1.0,REINFORCE,0.1,0.99
3,124,9.449999809265137,9,0.7297796607017517,-1.0,REINFORCE,0.1,0.99
3,125,9.049999237060547,14,1.2992815971374512,-1.0,REINFORCE,0.1,0.99
3,126,9.649999618530273,8,0.27317020297050476,-1.0,REINFORCE,0.1,0.99
3,127,9.44999885559082,9,0.8013653755187988,-1.0,REINFORCE,0.1,0.99
3,128,9.649999618530273,8,0.23223325610160828,-1.0,REINFORCE,0.1,0.99
3,129,9.44999885559082,9,0.6507629156112671,-1.0,REINFORCE,0.1,0.99
3,130,9.649999618530273,8,0.22184419631958008,-1.0,REINFORCE,0.1,0.99
3,131,9.44999885559082,9,0.56483393907547,-1.0,REINFORCE,0.1,0.99
3,132,9.649999618530273,8,0.22001534700393677,-1.0,REINFORCE,0.1,0.99
3,133,9.649999618530273,8,0.19012537598609924,-1.0,REINFORCE,0.1,0.99
3,134,9.649999618530273,8,0.16971814632415771,-1.0,REINFORCE,0.1,0.99
3,135,9.549999237060547,10,1.387073040008545,-1.0,REINFORCE,0.1,0.99
3,136,9.649999618530273,8,0.17335885763168335,-1.0,REINFORCE,0.1,0.99
3,137,9.649999618530273,8,0.1576090008020401,-1.0,REINFORCE,0.1,0.99
3,138,9.649999618530273,8,0.144968181848526,-1.0,REINFORCE,0.1,0.99
3,139,9.649999618530273,8,0.13443800806999207,-1.0,REINFORCE,0.1,0.99
3,140,9.649999618530273,8,0.12541699409484863,-1.0,REINFORCE,0.1,0.99
3,141,9.649999618530273,8,0.11759403347969055,-1.0,REINFORCE,0.1,0.99
3,142,9.649999618530273,8,0.11065332591533661,-1.0,REINFORCE,0.1,0.99
3,143,9.649999618530273,8,0.10441066324710846,-1.0,REINFORCE,0.1,0.99
3,144,-7.550000190734863,40,-0.4059002995491028,-1.0,REINFORCE,0.1,0.99
3,145,9.649999618530273,8,0.09236004203557968,-1.0,REINFORCE,0.1,0.99
3,146,9.449999809265137,9,0.8114827871322632,-1.0,REINFORCE,0.1,0.99
3,147,9.549999237060547,10,0.7391940355300903,-1.0,REINFORCE,0.1,0.99
3,148,9.449999809265137,9,0.6010923385620117,-1.0,REINFORCE,0.1,0.99
3,149,9.449999809265137,9,0.535971462726593,-1.0,REINFORCE,0.1,0.99
3,150,9.449999809265137,9,0.49225106835365295,-1.0,REINFORCE,0.1,0.99
3,151,9.449999809265137,9,0.7456960678100586,-1.0,REINFORCE,0.1,0.99
3,152,9.249999046325684,10,1.1424118280410767,-1.0,REINFORCE,0.1,0.99
3,153,9.549999237060547,10,0.7033845782279968,-1.0,REINFORCE,0.1,0.99
3,154,9.34999942779541,11,0.9870217442512512,-1.0,REINFORCE,0.1,0.99
3,155,9.449999809265137,9,0.5040761232376099,-1.0,REINFORCE,0.1,0.99
3,156,9.649999618530273,8,0.20367632806301117,-1.0,REINFORCE,0.1,0.99
3,157,9.249999046325684,10,1.6139805316925049,-1.0,REINFORCE,0.1,0.99
3,158,9.649999618530273,8,0.2107572704553604,-1.0,REINFORCE,0.1,0.99
3,159,8.84999942779541,12,1.7016938924789429,-1.0,REINFORCE,0.1,0.99
3,160,9.049999237060547,11,1.1047797203063965,-1.0,REINFORCE,0.1,0.99
3,161,9.649999618530273,8,0.2736052870750427,-1.0,REINFORCE,0.1,0.99
3,162,9.649999618530273,8,0.22827284038066864,-1.0,REINFORCE,0.1,0.99
3,163,9.549999237060547,10,0.6893278956413269,-1.0,REINFORCE,0.1,0.99
3,164,9.649999618530273,8,0.19316981732845306,-1.0,REINFORCE,0.1,0.99
3,165,9.44999885559082,9,0.8277461528778076,-1.0,REINFORCE,0.1,0.99
3,166,9.649999618530273,8,0.16604936122894287,-1.0,REINFORCE,0.1,0.99
3,167,9.649999618530273,8,0.14968842267990112,-1.0,REINFORCE,0.1,0.99
3,168,9.649999618530273,8,0.13619819283485413,-1.0,REINFORCE,0.1,0.99
3,169,9.649999618530273,8,0.12496089935302734,-1.0,REINFORCE,0.1,0.99
3,170,9.449999809265137,9,0.6524750590324402,-1.0,REINFORCE,0.1,0.99
3,171,9.649999618530273,8,0.131517693400383,-1.0,REINFORCE,0.1,0.99
3,172,9.649999618530273,8,0.11949947476387024,-1.0,REINFORCE,0.1,0.99
3,173,9.44999885559082,9,0.8063708543777466,-1.0,REINFORCE,0.1,0.99
3,174,9.649999618530273,8,0.1155778169631958,-1.0,REINFORCE,0.1,0.99
3,175,9.649999618530273,8,0.10720594227313995,-1.0,REINFORCE,0.1,0.99
3,176,9.649999618530273,8,0.0999993085861206,-1.0,REINFORCE,0.1,0.99
3,177,9.44999885559082,9,0.7469164729118347,-1.0,REINFORCE,0.1,0.99
3,178,9.44999885559082,9,0.7927309274673462,-1.0,REINFORCE,0.1,0.99
3,179,9.449999809265137,9,0.8599987030029297,-1.0,REINFORCE,0.1,0.99
3,180,9.649999618530273,8,0.11572881788015366,-1.0,REINFORCE,0.1,0.99
3,181,9.649999618530273,8,0.10761208087205887,-1.0,REINFORCE,0.1,0.99
3,182,9.649999618530273,8,0.10061468183994293,-1.0,REINFORCE,0.1,0.99
3,183,9.44999885559082,9,0.735173761844635,-1.0,REINFORCE,0.1,0.99
3,184,9.649999618530273,8,0.11540486663579941,-1.0,REINFORCE,0.1,0.99
3,185,9.649999618530273,8,0.10397036373615265,-1.0,REINFORCE,0.1,0.99
3,186,9.649999618530273,8,0.09518060088157654,-1.0,REINFORCE,0.1,0.99
3,187,9.649999618530273,8,0.0881473571062088,-1.0,REINFORCE,0.1,0.99
3,188,9.649999618530273,8,0.08234404027462006,-1.0,REINFORCE,0.1,0.99
3,189,9.649999618530273,8,0.0773889571428299,-1.0,REINFORCE,0.1,0.99
3,190,9.649999618530273,8,0.07314538955688477,-1.0,REINFORCE,0.1,0.99
3,191,9.44999885559082,9,0.7992560267448425,-1.0,REINFORCE,0.1,0.99
